SONG,Youtube Views 19 April,SoundCloud Plays 19 April,Instagram Followers 19 April,Facebook,Youtube Views 29 April,SoundCloud Plays 29 April,Instagram Followers 29 April,Facebook 29 April,Marathi Dropped 1st May,Marathi Redropped 7th May (Ban started)
Sacred Games,514,160,4.5k/3/1k/197,1359,,657,179,5.5k/3.8k/221,1587,
Subcribers/Followers,139,55,4.6klisteners/52followers,-,696/13703,140,56,5.4klisteners/53followers,-,700/13687
SONG,Youtube Views - 2 Jan,SoundCloud Plays - 2 Jan,Spotify- Stream/Listeners/Saves - 2 Jan,Apple Music - 2 Jan,Insta/FB Followers - 2 Jan,Youtube Views - 2 Feb,SoundCloud Plays - 2 Feb,Spotify- Stream/Listeners/Saves - 2 Feb,Apple Music - 2 Feb,Insta/FB Followers - 2 Feb
Apprateem,477,615,-,-,,494,615,-,-,
Vibe,339,648,382/171/29,19,,343,649,406/181/30,19,
Jinkto,543,498,-,-,,544,498,-,-,
Zarka,526,674,-,-,,526,674,-,-,
Marathi,1.5k,913,1.3k/721/94,2183,,1.6k,914,1.5k/823/101,2247,
Fort$,196,247,-,-,,198,247,-,-,
Kaay Hotay,664,168,736/314/38,44,,764,168,788/331/40,45,
"70,00,000",570,181,1.3k/702/81,148,,693,181,1.4k/782/88,148,
Kaam,174,124,1.2k/604/64,71,,176,124,1.3k/671/72,72,
Virat Kohli,505,151,1.7k/598/112,351,,532,152,1.7k/639/111,358,
Studio Sainik,385,124,478/191/25,15,,446,124,520/201/26,15,
100,125,73,487/159/30,13,,126,73,519/166/31,13,
YA$,123,74,245/103/19,12,,124,74,260/110/20,12,
Eagleye,197,88,227/103/19,10,,200,88,238/107/22,10,
Jinkto - The Remake,242,65,278/113/25,4,,242,65,315/124/26,4,
Marathi Vol. II,124,59,377/194/27,23,,124,60,433/217/31,23,
Fort$ - The Tribute,203,40,256/74/22,3,,221,40,287/78/23,3,
$tudio Night$,195,65,235/80/16,2,,199,65,252/84/17,2,
Apprateem Vol. II,157,48,382/102/25,2,,159,48,414/111/25,2,
Chai Kaffy - Full EP,402,-,-,-,,-,-,-,-,
330,816,81,933/226/40,37,,941,81,974/233/40,37,
Mavle Dada,177,30,437/126/29,10,,177,30,450/132/31,10,
No Q,325,43,415/94/27,4,,331,43,440/101/27,4,
Dirt Gang,566,36,424/79/20,30,,640,37,453/79/20,30,
Rarri,563,17,349/80/18,18,,604,17,355/80/18,18,
Mavle Anthem,4k,354,777/202/40,58,,4k,356,827/216/40,79,
Zarka - The Trap,176,69,108/54/13,1,,188,69,125/61/13,3,
Sacred Games,794,231,7.9k/5.4k/338,1771,,864,245,8.9k/6k/391,1824,
Grind,-,-,-,-,-,43,1,431/75/15,15,
Subcribers/Followers,144,55,56,-,"698/13,661",142,55,8.1klisteners/57followers,-,696/13641
