TrackStatKey,TrackKey,YT_Views,SC_Plays,SP_Streams,SP_Listeners,SP_Saves,APL_Plays,DateKey
225,7,344,NULL,NULL,NULL,NULL,NULL,20190302
226,3,109,17,316,30,9,7,20190302
227,20,121,7,180,17,4,3,20190302
228,21,66,13,178,15,6,1,20190302
229,8,118,11,173,15,4,8,20190302
230,27,80,66,43,18,3,10,20190302
231,9,80,47,36,17,5,8,20190302
232,14,72,43,35,14,2,1,20190302
233,18,76,49,46,18,1,10,20190302
234,11,42,31,49,17,4,2,20190302
235,1,86,43,20,10,3,2,20190302
236,16,119,161,201,47,12,31,20190302
237,4,224,171,263,69,10,158,20190302
238,15,113,117,216,56,12,43,20190302
239,26,247,120,507,141,44,206,20190302
240,24,88,107,91,20,7,12,20190302
241,2,103,65,218,48,9,6,20190302
242,5,249,607,NULL,NULL,NULL,NULL,20190402
243,25,287,632,84,28,7,15,20190402
244,13,493,479,NULL,NULL,NULL,NULL,20190402
245,28,211,656,NULL,NULL,NULL,NULL,20190402
246,17,1000,816,215,110,17,1324,20190402
247,10,190,242,NULL,NULL,NULL,NULL,20190402
248,22,71,9,191,21,5,5,20190402
249,6,100,22,39,13,6,NULL,20190402
250,7,349,NULL,NULL,NULL,NULL,NULL,20190402
251,3,114,44,372,42,11,11,20190402
252,20,125,11,217,27,5,9,20190402
253,21,69,18,206,17,7,1,20190402
254,8,120,15,205,22,5,27,20190402
255,27,83,67,59,20,4,10,20190402
256,9,82,48,53,21,6,8,20190402
257,14,72,44,58,23,3,1,20190402
258,18,81,50,63,28,1,10,20190402
259,11,43,31,59,19,6,2,20190402
260,1,96,45,37,13,4,NULL,20190402
261,16,120,162,238,59,13,31,20190402
262,4,230,171,303,92,13,159,20190402
263,15,114,119,252,70,12,43,20190402
264,26,254,122,561,164,42,212,20190402
265,24,93,107,121,25,7,12,20190402
266,2,103,66,238,52,10,10,20190402
267,5,253,607,NULL,NULL,NULL,NULL,20190502
268,25,289,633,98,35,7,17,20190502
269,13,497,481,NULL,NULL,NULL,NULL,20190502
270,28,212,656,NULL,NULL,NULL,NULL,20190502
271,17,1000,820,254,132,19,1423,20190502
272,10,191,242,NULL,NULL,NULL,NULL,20190502
273,22,72,9,204,30,5,8,20190502
274,19,NULL,79,180,36,8,19,20190502
275,6,102,22,50,15,6,2,20190502
276,7,352,NULL,NULL,NULL,NULL,NULL,20190502
277,3,117,55,407,49,14,26,20190502
278,20,131,15,233,32,7,9,20190502
279,21,70,19,216,21,10,1,20190502
280,8,125,18,216,28,7,31,20190502
281,27,83,67,67,22,4,11,20190502
282,9,82,48,61,25,6,8,20190502
283,14,73,45,64,26,3,1,20190502
284,18,82,50,77,36,2,12,20190502
285,11,45,31,65,19,6,3,20190502
286,1,100,45,47,17,4,NULL,20190502
287,16,121,162,262,70,15,32,20190502
288,4,232,172,342,115,17,165,20190502
289,15,114,119,303,98,14,46,20190502
290,26,262,122,615,187,49,214,20190502
291,24,100,108,146,33,10,12,20190502
292,2,103,66,251,58,9,12,20190502
293,5,257,608,NULL,NULL,NULL,NULL,20190602
294,25,295,633,130,46,12,19,20190602
295,13,502,482,NULL,NULL,NULL,NULL,20190602
296,28,216,656,NULL,NULL,NULL,NULL,20190602
297,17,1100,831,299,150,21,1539,20190602
298,10,193,243,NULL,NULL,NULL,NULL,20190602
299,22,98,10,222,37,9,10,20190602
300,19,669,163,242,56,13,21,20190602
301,6,113,27,78,19,10,2,20190602
302,7,365,NULL,NULL,NULL,NULL,NULL,20190602
303,3,137,61,594,151,25,29,20190602
304,20,137,19,262,42,9,9,20190602
305,21,80,25,240,25,11,1,20190602
306,8,133,22,240,33,8,32,20190602
307,27,85,67,87,30,6,11,20190602
308,9,84,48,79,34,10,10,20190602
309,14,80,46,86,29,6,1,20190602
310,18,85,51,98,48,5,16,20190602
311,11,55,33,80,20,7,3,20190602
312,1,129,46,62,19,5,NULL,20190602
313,16,125,162,314,88,16,33,20190602
314,4,239,172,399,140,20,166,20190602
315,15,121,119,370,127,20,47,20190602
316,26,274,123,700,215,58,220,20190602
317,24,103,108,175,45,11,12,20190602
318,2,108,66,273,65,11,12,20190602
319,5,263,610,NULL,NULL,NULL,NULL,20190702
320,25,303,636,168,54,12,19,20190702
321,13,521,482,NULL,NULL,NULL,NULL,20190702
322,28,229,663,NULL,NULL,NULL,NULL,20190702
323,17,1100,849,357,171,24,1621,20190702
324,10,196,244,NULL,NULL,NULL,NULL,20190702
325,22,202,11,253,43,9,10,20190702
326,19,2224,232,375,76,18,43,20190702
327,6,126,29,115,27,10,2,20190702
328,7,385,NULL,NULL,NULL,NULL,NULL,20190702
329,3,274,70,667,171,25,43,20190702
330,20,154,23,291,49,9,9,20190702
331,21,101,33,271,31,11,1,20190702
332,8,178,27,281,39,9,32,20190702
333,27,92,70,111,34,6,11,20190702
334,9,91,53,103,40,10,10,20190702
335,14,98,47,118,37,7,1,20190702
336,18,103,52,125,55,6,16,20190702
